fornecedor_nome;fornecedor_cnpj;cliente_nome;cliente_cnpj;estado;total_valor_pedido;total_pedidos_qtd
EMS S/A;5582;FARMACIA EMILIANA;60550;PI;1554.10;1
ACCUMED PROD MED HOSP LTDA;48933;MEDMAIS POPULAR;119577;BA;1134.80;1
SOFTYS BRASIL LTDA;789603;DROGARIA N.S APARECIDA;88968;CE;10067.90;1
TORRENT DO BRASIL LTDA;792019;FARMACIA POPULAR;120647;PE;529.00;1
ACCUMED PROD MED HOSP LTDA;48933;ARMAZEM REINALDO;56316;PI;2366.00;1
SOFTYS BRASIL LTDA;789603;FARMACIA VITORIA;124075;PI;200000.00;1
GEOLAB IND FARMACEUTICA S/A;33928;DROGARIAS ULTRA POPULAR ;95647;MA;3376.79;2
PHARLAB INDUSTRIA FARMACEUTICA S.A;790283;FARMACIA SAO FRANCISCO;95462;CE;18431.70;1
(TOTAL VITA) GROWUP INDUSTRIA DE ALIMENTOS E NUTRACEUTICOS LTDA;792141;COMERCIAL DE MEDICAMENTOS SILVA LTDA;80564;CE;2296.28;1
PRINCIPIA ES COMERCIO DE COSMETICOS LTDA;31;CENTRO FARMA;97950;MA;2573.60;1
HIDROLIGHT DO BRASIL S.A;791209;FARMACIA PADRE CICERO;86861;CE;2125.47;1
NEOQUIMICA;47252;FARM.VIANA;81190;CE;4217.60;1
NEOQUIMICA;47252;FARMA POPULAR ACARAU LTDA;77160;CE;20000.00;1
KIMBERLY-CLARK BRASIL IND.E CO;30241;JOSE WILKER MARTINS DA SILVA;96621;CE;2963.00;1
NEOQUIMICA;47252;FARMACIA DO POVO;88665;CE;4543.26;1
TORRENT DO BRASIL LTDA;792019;FARME BRITO DISTRIBUIDORA;4672;BA;7690.00;1
NEOQUIMICA;47252;FARMACIA EMILIANA;60550;PI;5085.63;1
LABORATORIO GLOBO LTDA;31305;MEGA FARMA;74314;MA;4947.62;1
KIMBERLY-CLARK BRASIL IND.E CO;30241;FARMA POPULAR APUIARES;120344;CE;4207.84;1
BIOSINTETICA FARMACEUTICA LTDA;7676;DROGARIA ALAN;81377;CE;323.00;1
SOFTYS BRASIL LTDA;789603;FARMACIA BETEL (REDE MED);1136;BA;9304.38;1
NEOQUIMICA;47252;PRO SAUDE;84079;CE;4000.00;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;794319;VALOR BRASIL COMERCIO DE MEDICAMENTOS LTDA;93555;CE;3111.86;1
(TOTAL VITA) GROWUP INDUSTRIA DE ALIMENTOS E NUTRACEUTICOS LTDA;792141;FARMACIA CENTER POPULAR (LJ 6) C JANGURU;81356;CE;2325.00;1
NEOQUIMICA;47252;FARMÁCIA ALMEIDA;7737;BA;2294.72;1
NEOQUIMICA;47252;FARMACIA TEND TUDO;100665;PE;1596.04;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;794319;DROGARIAS ULTRAMAX;95647;MA;1172.64;1
(TOTAL VITA) GROWUP INDUSTRIA DE ALIMENTOS E NUTRACEUTICOS LTDA;792141;SUPERFARM POPULAR;92109;CE;1607.64;1
PHARLAB INDUSTRIA FARMACEUTICA S.A;790283;FARMACIA NOVA FARMA;120610;CE;1915.25;1
EMS S/A;5582;COMERCIAL DE MEDICAMENTOS ANA FARMA LTDA;90200;CE;3000.00;1
KIMBERLY-CLARK BRASIL IND.E CO;30241;SUPER MARBEN;90903;CE;2356.24;1
ACCUMED PROD MED HOSP LTDA;48933;DROGARIA SAO FRANCISCO;81074;CE;2400.00;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;30307;N C LIMA SUPERMERCADOS LTDA;82333;CE;9126.33;1
HIGIMASTER DIST DE PROD DE HIG LTDA (DENTAL CLEAN);790094;DENISE DA PAIXAO RODRIGUES ME;93907;CE;1317.83;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;795345;DROGARIA FEITOSA;80467;CE;6013.98;2
MILI S/A;789168;SUPERMECARDO MORANGUINHO;87995;CE;15729.26;1
NATULAB LABORATORIO LTDA;33057;HIPER POPULAR DROGARIAS;96158;CE;3939.48;1
NEOQUIMICA;47252;DROG SOUSA;60658;PI;12218.72;1
SOFTYS BRASIL LTDA;789603;FARMACIA ZEZE;104374;CE;25000.00;1
NATULAB LABORATORIO LTDA;33057;HAPFARMA;93619;CE;1711.38;1
KLEY HERTZ DISTRIBUIDORA LTDA;789423;FARMACIA PRINCESA DO NORTE;76317;CE;44162.58;1
WELLA BRASIL LTDA;794029;FARMACIA POPULAR CENTRAL 3;91357;CE;2000.00;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;795345;F BATISTA DE ARAUJO  ME;123945;CE;1350.88;1
SOFTYS BRASIL LTDA;789603;DROGARIA CHARITOFARMA;93666;CE;5165.72;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;30307;MERCADINHO FEIRAO DO LAR;82333;CE;23605.18;2
PRO NOVA DIST E COM DE COSMETICOS LTDA - GIOVANNA BABY;792121;SUPERMERCADO MORANGUINHO -LJ01;87995;CE;12534.08;1
HYPERA PP E CH;32;FARMACIA SANTA CECILIA;86252;CE;5369.70;1
MILI S/A;789168;FARMACIA CASTELO BRANCO;97038;CE;774.91;1
TORRENT DO BRASIL LTDA;792019;FARMACIA NOVA VIDA;10663;BA;1645.00;1
SOFTYS BRASIL LTDA;789603;FARMACIA SAO JOSE;86926;CE;13560.60;1
NATULAB LABORATORIO LTDA;33057;DROGARIA SAO FRANCISCO;81093;CE;2057.11;1
SOFTYS BRASIL LTDA;789603;A MAIS BARATA DE PACAJUS;91357;CE;22559.60;1
GEOLAB IND FARMACEUTICA S/A;33928;FARMACIA ESTILO;80732;CE;1359.84;1
NEOQUIMICA;47252;PREA FARMA;99150;CE;6106.80;1
EMS S/A;5582;FARMA VITOR;75779;MA;2335.91;1
SANDOZ DO BRASI  IND. FARMAC LTDA (SP);789228;DROGARIA SAO JOSE;70432;MA;2909.00;1
BIOSINTETICA FARMACEUTICA LTDA;7676;PRO SAUDE;84079;CE;1266.62;1
SANDOZ DO BRASI  IND. FARMAC LTDA (SP);789228;SOARES DROGARIA & PE;92923;MA;923.22;1
HIGIMASTER DIST DE PROD DE HIG LTDA (DENTAL CLEAN);790094;N C LIMA SUPERMERCADOS LTDA;82333;CE;7390.65;1
SOFTYS BRASIL LTDA;789603;MEGAFARMA ;119061;PI;150000.00;1
NEOQUIMICA;47252;DROGATEL;62243;PI;3566.00;1
SOFTYS BRASIL LTDA;789603;FARMACIA SANTA TERESINHA;56456;PI;33517.50;1
NEOQUIMICA;47252;FARMACIA BETEL (REDE MED);1136;BA;70000.00;1
HYPERA PP E CH;32;F BATISTA DE ARAUJO  ME;123945;CE;5429.50;1
NATULAB LABORATORIO LTDA;33057;FARMACIA DO ARCO;80318;CE;2082.29;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;794319;FARMACIA DR NAHIN;93405;CE;4074.56;1
NEOQUIMICA;47252;FARMACIA DO TRABALHADOR;95212;MA;34998.50;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;794319;JOSE VANDEILSON UCHOA VIANA MEDICAMENTOS;86849;CE;2195.88;1
ACCUMED PROD MED HOSP LTDA;48933;PROVIDA LJ 05;86285;CE;7143.83;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;30307;VIDAL BARROSO V E A LTDA;91427;CE;5000.00;1
SOFTYS BRASIL LTDA;789603;DROGARIA CARNEIRO;80953;CE;5069.68;1
KLEY HERTZ DISTRIBUIDORA LTDA;789423;FARMACIA PREMIUM LTDA ME;91098;CE;15185.29;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;30307;DROGARIA POPULAR;103320;PE;3455.28;2
NEOQUIMICA;47252;FARMACIA MONTEIRO;71056;CE;933.51;1
KLEY HERTZ DISTRIBUIDORA LTDA;789423;DROGAFOR;80478;CE;1956.58;1
BIOSINTETICA FARMACEUTICA LTDA;7676;DROGARIA ALMEIDA GOMES LTDA;131549;CE;1202.89;1
SOFTYS BRASIL LTDA;789603;FARMACIA MAIS SAUDE;7104;BA;12838.00;3
SOFTYS BRASIL LTDA;789603;FARMACIA CERQUEIRA;10130;BA;54961.00;1
KLEY HERTZ DISTRIBUIDORA LTDA;789423;A C F MORORÓ;89027;CE;1146.19;1
NEOQUIMICA;47252;GRUPO TOTAL;10000;CE;89731.57;20
PHARLAB INDUSTRIA FARMACEUTICA S.A;790283;FARMACIA DO MIGUEL;72753;MA;3399.95;1
PHARLAB INDUSTRIA FARMACEUTICA S.A;790283;DROGARIA SAO JOSE;70432;MA;2810.00;1
SOFTYS BRASIL LTDA;789603;DEUSABABYS;104373;CE;50804.88;1
TORRENT DO BRASIL LTDA;792019;A C F MORORÓ;89027;CE;1507.67;1
KLEY HERTZ DISTRIBUIDORA LTDA;789423;BARBARA ANANDA COSTA CAMPOS AVELINO;119573;CE;3168.91;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;795345;VIDAL BARROSO V E A LTDA;91427;CE;2541.00;1
NEOQUIMICA;47252;CRISTIANO MOREIRA MAIA;64556;CE;20000.00;1
NATULAB LABORATORIO LTDA;33057;FARMACIA CASCAVEL;91357;CE;2868.00;1
SOFTYS BRASIL LTDA;789603;BARBOSA E LEITAO ALIMENTOS LTDA;94101;CE;30131.42;1
EMS S/A;5582;F NIKELLY PEREIRA DE ALMEIDA;93752;CE;3399.60;1
NEOQUIMICA;47252;CASA DOS COMPRIMIDOS;86705;CE;245019.60;1
MILI S/A;789168;FARM.SOLONOPOLES;80564;CE;26000.00;1
PHARLAB INDUSTRIA FARMACEUTICA S.A;790283;DROGARIA POPULAR HOLANDA;94120;MA;1029.00;1
ACCUMED PROD MED HOSP LTDA;48933;FARMACIA ALDESUL (CAUCAIA);80576;CE;4000.00;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;794319;DROG BEZERRA LEAL;60038;PI;12470.00;1
NEOQUIMICA;47252;FARMACIA ECONOMICA;121837;CE;1998.00;1
BIOSINTETICA FARMACEUTICA LTDA;7676;OLIVEIRA & QUEIROGA LTDA;103931;CE;1210.33;1
TORRENT DO BRASIL LTDA;792019;MEDICAL FARMA;91823;MA;501.43;1
NEOQUIMICA;47252;FARMACENTER;121015;PE;2212.80;2
NEOQUIMICA;47252;FARMACIA SANTA CLARA;120455;CE;743.68;1
GEOLAB IND FARMACEUTICA S/A;33928;FARMA VITOR;75779;MA;3013.60;1
SANDOZ DO BRASI  IND. FARMAC LTDA (SP);789228;DROGARIAS MAXI POPULAR;80565;CE;2359.00;1
GERMED FARMACEUTICA LTDA;53333;A C F MORORÓ;89027;CE;1018.45;1
LABORATORIO GLOBO LTDA;31305;DROGA JACK;80488;CE;805.14;1
LABORATORIO GLOBO LTDA;31305;FARMACIA MINI PRECO;126522;MA;6509.30;1
SOFTYS BRASIL LTDA;789603;FARMACIA CASCAVEL;91357;CE;32097.36;1
GERMED FARMACEUTICA LTDA;53333;FARM. OSWALDO CRUZ;85836;CE;2100.00;1
BIOSINTETICA FARMACEUTICA LTDA;7676;ECONOMIA FARMA;97067;CE;3990.00;1
SOFTYS BRASIL LTDA;789603;TELEFARMA;96743;CE;10269.82;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;795345;CENTRAL POPULAR SANTA QUITERIA LTDA;118536;CE;560.83;1
SANDOZ DO BRASI  IND. FARMAC LTDA (SP);789228;FARMACIA DO MIGUEL;72753;MA;1751.50;1
EMS S/A;5582;SUPERFARMA PINHEIRO LTDA ME;80100;CE;100.00;1
SOFTYS BRASIL LTDA;789603;FARMACIA MONTEIRO;71056;CE;5800.00;1
TORRENT DO BRASIL LTDA;792019;FARMACIA PROVIDA ( LOJA 07 );86285;CE;896.44;1
KLEY HERTZ DISTRIBUIDORA LTDA;789423;FARMACIA NATURALE;20039;CE;614.86;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;30307;FARMÁCIA MENOR PREÇO;7971;BA;16806.72;1
TORRENT DO BRASIL LTDA;792019;FARMACIA CASCAVEL;91357;CE;1730.05;1
NEOQUIMICA;47252;OLIVEIRA E SOUSA COM DE PROD.;90920;CE;1044.15;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;795345;FARMACIA PADRE CICERO;86861;CE;500.66;1
ACCUMED PROD MED HOSP LTDA;48933;CEGIANE GESSICA A MONTEIRO ME;77160;CE;1720.23;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;794319;SILVA E GALVAO LTDA;80555;CE;3817.14;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;794319;D DA SILVA RODRIGUES;120532;CE;3540.16;1
SOFTYS BRASIL LTDA;789603;RAIANE DE BRITO SILVA;99170;CE;26556.00;1
BIOSINTETICA FARMACEUTICA LTDA;7676;FARMACIA PECHINCHA;130722;CE;3015.56;1
(TOTAL VITA) GROWUP INDUSTRIA DE ALIMENTOS E NUTRACEUTICOS LTDA;792141;TICIANY P. RODRIGUES ME;94072;CE;1004.58;1
SOFTYS BRASIL LTDA;789603;ULTRAFARMA;80143;CE;16766.40;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;30307;EXTRA SAO JOSE COMERCIO DE ALIMENTOS LTDA;87326;CE;6631.88;1
SOFTYS BRASIL LTDA;789603;FERNANDES FARMA;96481;CE;2335.30;1
EMS S/A;5582;FARMACIA PADRE CICERO;81217;CE;7324.64;1
ACCUMED PROD MED HOSP LTDA;48933;DROGARIAS FEITOSA;80467;CE;15744.23;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;795345;POP FARMA;118828;PI;23560.00;3
KLEY HERTZ DISTRIBUIDORA LTDA;789423;FCIA ITINGA;92617;MA;3223.34;1
KLEY HERTZ DISTRIBUIDORA LTDA;789423;SOCORRO FARMACEUTICO;92902;MA;2039.62;1
BIOSINTETICA FARMACEUTICA LTDA;7676;A R DE OLIVEIRA - ME;91312;CE;1824.83;1
EMS S/A;5582;HIPER POPULAR DROGARIAS;96554;MA;7068.08;2
PHARLAB INDUSTRIA FARMACEUTICA S.A;790283;DROGAFELIX (LJ 8) ULTRA OSORIO;81356;CE;307.00;1
(TOTAL VITA) GROWUP INDUSTRIA DE ALIMENTOS E NUTRACEUTICOS LTDA;792141;GELSUE NOBRE DO NASCIMENTO;95490;CE;2501.96;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;30307;POSTO DE MEDICAMENTOS SAUDE DO TRABALHAD;101677;PE;24900.00;1
NEOQUIMICA;47252;DROGARIA N S APARECIDA;88968;CE;3023.12;1
NEOQUIMICA;47252;FARMACIA PROGRESSO;80704;CE;7441.00;1
EMS S/A;5582;FARMACIA SAO JOSE;80672;CE;2281.20;1
KIMBERLY-CLARK BRASIL IND.E CO;30241;FARMACIA JARDIM IRACEMA;80578;CE;2062.84;1
LOLLY BABY PRODUTOS INFANTIS L;30083;NOSSA FARMACIA;90446;CE;2146.82;1
WELLA BRASIL LTDA;794029;JC COMERCIAL VAREJO LTDA;96045;CE;2000.00;1
PHARLAB INDUSTRIA FARMACEUTICA S.A;790283;FARMACIA IDEAL;97922;CE;1323.89;1
NATULAB LABORATORIO LTDA;33057;FARMACIA UCHOA;93039;MA;2365.63;1
WELLA BRASIL LTDA;794029;COMERCIAL DE MEDICAMENTOS NOGUEIRA LTDA;96743;CE;1000.00;1
SANDOZ DO BRASI  IND. FARMAC LTDA (SP);789228;DROGARIAS ULTRA POPULAR ;95647;MA;2571.31;1
LABORATORIO GLOBO LTDA;31305;CEGIANE GESSICA A MONTEIRO ME;77160;CE;2806.72;1
HIDROLIGHT DO BRASIL S.A;791209;POSTO DE MEDICAMENTO CEFARMA;97412;CE;2071.84;1
WELLA BRASIL LTDA;794029;SUPERMECARDO MORANGUINHO;87995;CE;3000.00;1
HIGIMASTER DIST DE PROD DE HIG LTDA (DENTAL CLEAN);790094;MEGA FARMA;74314;MA;6900.20;1
HIDROLIGHT DO BRASIL S.A;791209;DROGARIA FORTALEZA;85405;CE;4005.22;1
PHARLAB INDUSTRIA FARMACEUTICA S.A;790283;FARMACIA PONTUAL;86558;CE;2633.31;1
HIGIMASTER DIST DE PROD DE HIG LTDA (DENTAL CLEAN);790094;FARMACIA SAO BENTO ;96970;CE;349.81;1
TORRENT DO BRASIL LTDA;792019;FARMACIA + AMIGA;97346;CE;6004.70;1
WELLA BRASIL LTDA;794029;DROGARIA SANTA TEREZINHA;89399;CE;6000.00;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;30307;DROGARIA BENEVENUTO;80432;CE;10297.00;1
NEOQUIMICA;47252;SAM FARMA;80744;CE;4214.41;1
LOLLY BABY PRODUTOS INFANTIS L;30083;DROGATEL;62243;PI;3572.23;1
NATULAB LABORATORIO LTDA;33057;FARMACIA FARMAZIL;123683;CE;1388.55;1
WELLA BRASIL LTDA;794029;FARMACIA PLANETA;93346;CE;1000.00;1
EMS S/A;5582;POPULARFARMA;100366;PI;10566.05;1
GEOLAB IND FARMACEUTICA S/A;33928;FARMACIA EMILIANA;60550;PI;1564.83;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;30307;ULTRA POPULAR;96359;MA;215473.00;1
GERMED FARMACEUTICA LTDA;53333;MEGA FARMA;74314;MA;5000.00;1
LABORATORIO GLOBO LTDA;31305;ATACADAO MEGAFARMA;119061;PI;1036.34;1
GERMED FARMACEUTICA LTDA;53333;FARMACIA DA ECONOMIA;601;BA;23000.00;1
KIMBERLY-CLARK BRASIL IND.E CO;30241;GILVAN FACHINI 58882154068;96557;CE;4173.12;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;795345;N M DE SOUZA COSMETICOS;121724;PE;13068.00;1
MILI S/A;789168;M MICHELLE SARAIVA MOREIRA;80588;CE;6028.40;1
NEOQUIMICA;47252;DROGARIA SAO JOSE;70432;MA;8382.64;1
ACCUMED PROD MED HOSP LTDA;48933;FARMACIA UNIFARMA POPULAR;123144;CE;3677.36;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;795345;DROGARIAS ULTRA POPULAR;97835;CE;954.49;1
GEOLAB IND FARMACEUTICA S/A;33928;FARMACIA NOVA FARMA;120610;CE;1384.74;1
MILI S/A;789168;FARMACIA FARMAVIDA;87961;CE;1311.06;1
BIOSINTETICA FARMACEUTICA LTDA;7676;FARMACIA CAUCAIA;80576;CE;955.29;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;795345;SLIM FARMA DRUGSTORE LTDA;124954;CE;998.40;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;30307;DROGARIAS CAETES;100933;PE;56900.00;1
PRINCIPIA ES COMERCIO DE COSMETICOS LTDA;31;JOSE WILKER MARTINS DA SILVA;96621;CE;2062.00;1
NEOQUIMICA;47252;FARMACIA ESTILO;80732;CE;3664.61;1
BIOSINTETICA FARMACEUTICA LTDA;7676;DROGARIA FEITOSA;80467;CE;6677.59;1
SOFTYS BRASIL LTDA;789603;A E B COMERCIO DE PRODUTOS FA;90866;CE;13582.70;1
WELLA BRASIL LTDA;794029;FARMACIA SAO JOSE;86926;CE;2000.00;1
TORRENT DO BRASIL LTDA;792019;HIPER POPULAR DROGARIAS;96554;MA;4397.76;1
KIMBERLY-CLARK BRASIL IND.E CO;30241;BARBARA ANANDA COSTA CAMPOS AVELINO;119573;CE;4051.62;1
PHARLAB INDUSTRIA FARMACEUTICA S.A;790283;COMERCIAL DE MEDICAMENTOS SOLONOPOLE LTDA;80564;CE;5511.20;1
NEOQUIMICA;47252;FARM. G.G.;80793;CE;3907.92;1
NEOQUIMICA;47252;FERNANDES FARMA;96481;CE;4316.60;1
HYPERA PP E CH;32;FARMACIA GENTIL;83453;CE;12784.25;1
HYPERA PP E CH;32;GRUPO TOTAL;10000;CE;381107.59;24
BIOSINTETICA FARMACEUTICA LTDA;7676;FARMACIA FARMAZIL;123683;CE;3139.92;1
ACCUMED PROD MED HOSP LTDA;48933;R & B COMERCIAL FARMACEUTICA LTDA ME;92072;CE;1199.28;1
NEOQUIMICA;47252;FCIA GENERICA DE TUT;92914;MA;2036.60;1
NEOQUIMICA;47252;DROG VILA PALMEIRA;75086;MA;7195.76;1
NEOQUIMICA;47252;FARME BRITO;4672;BA;100000.00;1
ACCUMED PROD MED HOSP LTDA;48933;FARMACIA CASTELO BRANCO;97038;CE;2271.12;1
SOFTYS BRASIL LTDA;789603;FARM.VASCONCELOS;80502;CE;5105.31;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;30307;FARMACIA SANTA TERESINHA;56456;PI;5256.96;1
BIOSINTETICA FARMACEUTICA LTDA;7676;FARMACIA NOGUEIRA;119544;CE;3884.30;5
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;794319;FARMACIA MENOR PREÇO;7971;BA;1522.60;1
SOFTYS BRASIL LTDA;789603;ATENDBEM FL2;7057;BA;3964.06;1
WELLA BRASIL LTDA;794029;ECONOMIAFARMA;86705;CE;11000.00;1
GEOLAB IND FARMACEUTICA S/A;33928;SOCORRO FARMACEUTICO;92902;MA;2028.50;1
ACCUMED PROD MED HOSP LTDA;48933;FARMACIA GERMANA;80657;CE;1029.10;1
SOFTYS BRASIL LTDA;789603;SANFARMA SANTO ANTONIO FARMAC-;83144;CE;10179.80;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;795345;SUPER MARBEN;90903;CE;348.24;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;794319;POSTO DE MEDICAMENTO CEFARMA;97412;CE;4111.94;1
SOFTYS BRASIL LTDA;789603;FARMACIA SANTANA;93405;CE;35733.88;1
SOFTYS BRASIL LTDA;789603;FCO ELTON APOLONIO MENDES - ME;80588;CE;4464.52;1
NEOQUIMICA;47252;FARMACIA SAO MIGUEL;72753;MA;11435.00;1
ACCUMED PROD MED HOSP LTDA;48933;FARMACIA POPULAR;80123;CE;2738.00;1
ACCUMED PROD MED HOSP LTDA;48933;DROGARIA SAO FRANCISCO;81093;CE;1004.08;1
TORRENT DO BRASIL LTDA;792019;FARM.MEDICAL;81399;CE;1010.74;1
SOFTYS BRASIL LTDA;789603;LIBORIO & LIBORIO LTDA;7104;BA;8324.92;2
BIOSINTETICA FARMACEUTICA LTDA;7676;DENISE DA PAIXAO RODRIGUES ME;93907;CE;1282.74;1
WELLA BRASIL LTDA;794029;GRUPO TOTAL;10000;CE;10000.00;5
ACCUMED PROD MED HOSP LTDA;48933;FARM.LIMOEIRENSE;80983;CE;1016.07;1
BIOSINTETICA FARMACEUTICA LTDA;7676;FARMACIA DO TRABALHADOR DE CARIRI;95905;CE;3221.97;1
KIMBERLY-CLARK BRASIL IND.E CO;30241;SLIM FARMA;124954;CE;5724.12;1
KIMBERLY-CLARK BRASIL IND.E CO;30241;HAPFARMA;93619;CE;1543.44;1
(TOTAL VITA) GROWUP INDUSTRIA DE ALIMENTOS E NUTRACEUTICOS LTDA;792141;FARMACIA ALDESUL (MATRIZ);80576;CE;1600.00;1
NEOQUIMICA;47252;FARMACIA JACQUELINE;81009;CE;1782.70;1
ACCUMED PROD MED HOSP LTDA;48933;FARM.ELTON;80588;CE;3476.83;1
NATULAB LABORATORIO LTDA;33057;SOARES DROGARIA & PE;92923;MA;3521.12;1
SOFTYS BRASIL LTDA;789603;DROG BETEL 4;1136;BA;3710.50;1
MILI S/A;789168;FARMACIA MAIS SAUDE;130759;CE;5027.24;1
KLEY HERTZ DISTRIBUIDORA LTDA;789423;DROGARIA FRANCILIO FILIAL 2;95621;PI;8328.98;1
EMS S/A;5582;DROGARIA ALAN;81377;CE;3231.00;1
NEOQUIMICA;47252;FARMACIA CENTER POPULAR;97835;CE;5036.00;1
SOFTYS BRASIL LTDA;789603;FARMAVIDA CARIRI LTDA EPP;99426;CE;7767.60;1
ACCUMED PROD MED HOSP LTDA;48933;HIPER FARMA;99632;CE;1287.99;1
LABORATORIO GLOBO LTDA;31305;FARMACIA DA PRAÇA;63894;PI;30167.80;1
GEOLAB IND FARMACEUTICA S/A;33928;FARMACIA PECHINCHA;130722;CE;3971.98;1
NEOQUIMICA;47252;SOCORRO FARMACEUTICO;92902;MA;6101.67;1
SOFTYS BRASIL LTDA;789603;FARMAROSSI;93516;CE;21221.80;2
NEOQUIMICA;47252;FARMACIA DO BAIRRO;86237;CE;8035.00;1
BIOSINTETICA FARMACEUTICA LTDA;7676;FARMACIA ROMAO;80690;CE;1294.84;1
ACCUMED PROD MED HOSP LTDA;48933;FARMACIA SUPER PRECO BAIXO;98035;CE;983.40;1
MILI S/A;789168;VAREJAO SUPER BARATO LTDA;93644;CE;10260.00;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;30307;FARM. OSWALDO CRUZ;85836;CE;11573.00;1
EMS S/A;5582;DROGARIA FEITOSA;80467;CE;63557.00;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;794319;FARMACIA SANTANA;93405;CE;20658.60;1
MILI S/A;789168;FCO ELTON APOLONIO MENDES - ME;80588;CE;4609.28;1
ACCUMED PROD MED HOSP LTDA;48933;FARMACIA IDEAL;97922;CE;2666.45;1
NEOQUIMICA;47252;FARMACIA SAO JOSE - 2;81017;CE;3168.50;1
EMS S/A;5582;FARM. OSWALDO CRUZ;85836;CE;1750.00;1
NEOQUIMICA;47252;FARMACIA PALESTINA;90050;CE;2746.81;1
BIOSINTETICA FARMACEUTICA LTDA;7676;FARMACIA FARMA FORTE;131180;CE;3004.80;1
BIOSINTETICA FARMACEUTICA LTDA;7676;FARMACIA DA PRAÇA;63894;PI;10588.48;1
GEOLAB IND FARMACEUTICA S/A;33928;HIPER POPULAR DROGARIAS;96554;MA;5471.12;1
KLEY HERTZ DISTRIBUIDORA LTDA;789423;FARMACIA ESTILO;80732;CE;664.48;1
GEOLAB IND FARMACEUTICA S/A;33928;SOARES DROGARIA & PE;92923;MA;3953.72;1
KIMBERLY-CLARK BRASIL IND.E CO;30241;FARM.SANTA CECILIA II;81189;CE;30000.00;1
(TOTAL VITA) GROWUP INDUSTRIA DE ALIMENTOS E NUTRACEUTICOS LTDA;792141;FARMA POPULAR ACARAU LTDA;77160;CE;4354.90;1
SANDOZ DO BRASI  IND. FARMAC LTDA (SP);789228;DROGARIA AGUIAR PAULA LTDA ME;81074;CE;3237.97;1
KIMBERLY-CLARK BRASIL IND.E CO;30241;FARMACIA NOVA VIDA;10663;BA;35000.00;1
LOLLY BABY PRODUTOS INFANTIS L;30083;ULTRA POPULAR;7057;BA;1029.18;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;794319;MEDMAIS POPULAR;119577;BA;2002.05;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;794319;VIANA FARMA;74268;MA;2263.12;1
KLEY HERTZ DISTRIBUIDORA LTDA;789423;ECONOMIAFARMA;86705;CE;20000.00;1
NATULAB LABORATORIO LTDA;33057;DROGARIA BITU;104011;CE;600.52;1
NATULAB LABORATORIO LTDA;33057;FARMACIA SAO PEDRO;88472;CE;0.00;1
EMS S/A;5582;JS COMERCIO DE MEDICAMENTOS LTDA;97835;CE;719.10;1
EMS S/A;5582;DROGASOL;92558;MA;2176.17;2
LABORATORIO GLOBO LTDA;31305;FARMACIA FARMAVIDA;87961;CE;586.00;1
EMS S/A;5582;FARMACIA DO TRABALHADOR;95212;MA;4148.00;1
KLEY HERTZ DISTRIBUIDORA LTDA;789423;FARMACIA CASCAVEL;91357;CE;3000.00;1
